#OTU ID	ELAoL373o45o5cm	ELAoL226No12o125cm	ELAoL373o25o3cm	ELAoextractioncontrolo2020o07o14	ELAoL373o75o8cm	ELAoL226No6o65cm	ELAoL226No15o2cm	ELAoextractioncontrolo2020o06o24	ELAoL226So45o5cm	ELAoL226No8o85cm	ELAoL226No9o95cm	ELAoL224o2o25cm	ELAoL224o185o19cm	ELAoL226So7o75cm	ELAoL226No0o05cm	ELAoL224o14o145cm	ELAoL224o1o15cm	ELAoL224o25o3cm	ELAoL226No85o9cm	ELAoL224o13o135cm	ELAoL224o0o05cm	ELAoL224o125o13cm	ELAoL227o10o105cm	ELAoL224o65o7cm	ELAoL226So105o11cm	ELAoL226So1o15cm	ELAoL226No13o135cm	ELAoL227o75o8cm	ELAoL373o8o85cm	ELAoL224o105o11cm	ELAoL226So0o05cm	ELAoL224o115o12cm	ELAoL224o175o18cm	ELAoL224o11o115cm	ELAoL226No7o75cm	ELAoL227o95o10cm	ELAoL373o05o1cm	ELAoL227o1o15cm	ELAoL227o0o05cm	ELAoL226So115o12cm	ELAoL226No65o7cm	ELAoL373o5o55cm	ELAoL227o2o25cm	ELAoL224o7o75cm	ELAoL226No1o15cm	ELAoL227o11o115cm	ELAoL224o145o15cm	ELAoextractioncontrolo2020o07o21	ELAoL226No125o13cm	ELAoL224o35o4cm	ELAoL373o7o75cm	ELAoL227o4o45cm	ELAoL224o17o175cm	ELAoL227o05o1cm	ELAoL226No135o14cm	ELAoL226So75o8cm	ELAoL224o45o5cm	ELAoL224o55o6cm	ELAoextractioncontrolo2020o06o25	ELAoL224o85o9cm	ELAoL227o35o4cm	ELAoL226No4o45cm	ELAoL224o75o8cm	ELAoL226No11o115cm	ELAoL224o155o16cm	ELAoL226So2o25cm	ELAoL224o15o2cm	ELAoL227o65o7cm	ELAoL226No3o35cm	ELAoextractioncontrolo2020o06o30	ELAoL224o05o1cm	ELAoL373o85o9cm	ELAoL226No45o5cm	ELAoL224o9o95cm	ELAoL226So95o10cm	BlankpcrCES	ELAoL226So3o35cm	ELAoL227o105o11cm	ELAoL373o4o45cm	ELAoL227o9o95cm	ELAoL226So5o55cm	ELAoL373o2o25cm	ELAoL373o6o65cm	ELAoL224o5o55cm	ELAoL227o15o2cm	ELAoL224o4o45cm	ELAoL226No05o1cm	ELAoL226So9o95cm	ELAoL224o165o17cm	ELAoL226No14o145cm	ELAoL227o85o9cm	ELAoL224o10o105cm	ELAoL226So85o9cm	ELAoL227o6o65cm	ELAoL226So11o115cm	ELAoL226No75o8cm	ELAoL226No5o55cm	ELAoL226So35o4cm	ELAoL373o35o4cm	ELAoL227o115o12cm	ELAoL227o55o6cm	ELAoL224o12o125cm	ELAoL373o65o7cm	ELAoL226No95o10cm	ELAoL227o5o55cm	ELAoL226So65o7cm	ELAoL226No115o12cm	ELAoL227o45o5cm	ELAoL373o1o15cm	ELAoL227o3o35cm	ELAoL226No2o25cm	ELAoL224o95o10cm	ELAoL224o16o165cm	ELAoL373o55o6cm	ELAoL227o7o75cm	ELAoL227o8o85cm	ELAoL226So6o65cm	ELAoL373o3o35cm	ELAoextractioncontrolo2020o07o28	ELAoL227o25o3cm	ELAoL224o135o14cm	ELAoL226So55o6cm	ELAoL226No35o4cm	ELAoL224o19o195cm	ELAoL226So15o2cm	ELAoL226No10o105cm	ELAoL226No55o6cm	ELAoL226So10o105cm	ELAoL373o0o05cm	ELAoL224o18o185cm	ELAoL224o6o65cm	ELAoL226No105o11cm	ELAoL226So8o85cm	ELAoL226No25o3cm	ELAoL226So25o3cm	ELAoL224o3o35cm	ELAoL224o15o155cm	ELAoL226So05o1cm	ELAoL226No145o15cm	ELAoL224o8o85cm	ELAoL373o15o2cm	ELAoL226So4o45cm
Zotu1	12	0	0	3	9	15552	8029	0	0	15340	7469	1	3	25248	2	1	14	71535	19491	1	3542	0	0	10770	2497	16460	56591	18353	0	1	1653	1	3	4	36124	21038	2654	1	1	0	15738	3150	2	12	3436	18726	49	2	1886	3	6	4	0	0	1	32523	10881	1864	0	37340	231	3831	31779	40357	0	47710	0	2	2888	0	940	3459	0	5623	8	2	8261	50926	3311	8823	46595	1	2	54061	4	17247	1720	0	1	8	25559	1541	1305	25930	21356	15033	66559	10355	18	1	3	1	7	4377	20327	15873	18927	1	5	1	1610	1	0	14	189	960	28161	5	1	4479	0	8784	10206	1	21754	24553	5767	10290	295	1	3	0	349	45873	0	11	1	39337	0	3329	2	2
Zotu50	0	0	0	1	0	0	3965	0	565	0	0	21	0	0	0	0	0	0	0	0	1150	0	0	383	0	0	0	0	0	0	0	0	0	0	3830	5714	0	0	0	0	7	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	2122	0	0	0	136	0	0	0	0	0	0	0	0	234	0	0	0	0	97	0	8	0	0	0	1	0	0	1510	0	0	91	0	0	0	2063	0	0	0	51	0	0	0	0	53	122	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805	0	0	20	0	1759	0	0	0	3826	0	0
Zotu49	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3685	0	0	0	1	0	0	0	0	0	0	0	0	0	11079	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8046	0	0	0	0	0	0	0	0	0	0	0	0	0	3597	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	21905	0	0	1	3	0	8368	0	0	23146	1	18050	92961	0	0	0	1	0	0	13552	0	0	1	2	0	0	0	1	1	0	0	1	0	0	0	1	526	9	1904	1	26881	5197	0	0	11585	5628	0	1	0	0	0	3370	0	165	0	0	10	0	0	0	1	13121	1623	0	1	1	0	0	10713	1	1	0	0	117	1	0	0	1	13964	0	0	0	0	17226	3	0	10078	0	0	0	0	0	25394	1	0	14097	6396	1	0	0	0	0	0	0	0	0	1	1	2204	2457	4764	0	0	0	5917	1	0	0	0	12	0	0	395	0	0	0	10533	0	0	1	0	0	0	1	0	1152	29900	0	0	1891	3109	14143
Zotu16	0	0	0	0	0	50	2286	0	1	0	8038	0	0	1389	0	0	0	0	400	1	747	1	2697	1	1443	0	0	5306	182	0	266	0	1	0	5826	1717	7	0	1	0	3	0	98	0	0	3942	350	1	213	0	0	21	0	64	6857	1425	0	1	0	0	1	2	0	0	0	3	0	3303	1754	0	1	0	133	0	1026	0	0	1394	6	3132	56	133	1	1510	0	0	214	7683	0	1191	1	325	0	0	3	8	3086	0	0	563	10	0	0	43	1	310	81	563	1259	0	463	0	0	0	2	1688	110	3	0	4	0	1078	801	0	1	6597	232	4829	231	1	0	0	0	326	1	199	0	3	10	821	0	0
Zotu114	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0	0	0	0	6443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	6162	0	614	0	10911	0	0	0	0	1	0	0	0	0	1	0	8760	1	0	2	5403	0	0	15066	0	0	1	6	1	0	0	0	0	0	3	0	1129	0	0	0	6	4211	1	15328	2	45	61	1	0	0	17102	8	0	0	0	0	0	0	0	19003	0	9	13803	5	0	0	0	2	0	0	3331	0	1	0	12	0	0	5	10022	1	2	0	1	10772	0	17475	0	0	0	41	13	0	1	1	0	0	0	0	10	0	0	0	18	0	24	0	0	0	12	1	0	0	1	7	1	24	0	5	0	1	0	1	0	0	2	0	1	0	0	0	0	0	4	1	0	569	0	0	0	1670	1	0
Zotu45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	32448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
