sample_id	lake_id	upperpt	lowerpt	midpt	midpt_year	upperpt_year	lowerpt_year	epilimnion_temp	metalimnion_temp	hypolimnion_temp	sdd	epilimnion_tn	epilimnion_tp	epilimnion_ph	epilimnion_oxygen	profundal_tn	profundal_tp	profundal_ph	profundal_oxygen	meanairtemp	precip_eccc	maxairtemp	minairtemp	precip_ela	ice_duration
L227_9.5-10cm	L227	9.5	10	9.75	1922.43302706114	1926.89730857458	1917.72902836204	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	681.1111111111111	NA	NA	NA	NA
L227_10-10.5cm	L227	10	10.5	10.25	1912.77518272835	1917.72902836204	1907.56136041112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.79	512.5	NA	NA	NA	NA
L227_10.5-11cm	L227	10.5	11	10.75	1902.07743166142	1907.56136041112	1897.54540011815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1875	605.875	NA	NA	NA	NA
L227_11-11.5cm	L227	11	11.5	11.25	1892.58345068531	1897.54540011815	1887.62150125246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L227_11.5-12cm	L227	11.5	12	11.75	1882.65955181962	1887.62150125246	1877.69760238677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L373_0-0.5cm	L373	0	0.5	0.25	2016.42696470062	2018	2013.02566797472	15.64	9.86	5.1	5.38	0.22	6.84	7.22	NA	0.38	17.52	6.66	NA	2.96	830.2	7.8	-1.46	799.6	155.2
L373_0.5-1cm	L373	0.5	1	0.75	2009.53666112652	2013.02566797472	2005.96572772333	13.428571428571429	8.942857142857143	5.185714285714286	5.385714285714285	0.24285714285714285	6.757142857142857	7.114285714285714	8.82857142857143	0.35714285714285715	13.142857142857142	6.685714285714286	6.6	3.685714285714286	744.2857142857143	8.642857142857142	-0.9142857142857143	754.5714285714286	149.42857142857142
L373_1-1.5cm	L373	1	1.5	1.25	2002.31865133246	2005.96572772333	1998.60121552124	13.857142857142858	9.528571428571428	5.428571428571429	5.414285714285715	0.2714285714285714	5.9714285714285715	7.128571428571428	8.557142857142857	0.3142857142857143	9.714285714285714	6.7	6.757142857142857	3.4571428571428573	805	8.257142857142856	-1.6714285714285715	781.4285714285714	155.57142857142858
L373_1.5-2cm	L373	1.5	2	1.75	1994.81920385697	1998.60121552124	1990.97839990697	14.175	9.5	5.4	6.55	0.2	5.2875	7.325	8.9125	0.2875	9.6875	6.775	6.55	2.75	734.75	7.6	-2.1	741.25	168.375
L373_2-2.5cm	L373	2	2.5	2.25	1987.08458723856	1990.97839990697	1983.14354941904	13.74	9.34	5.64	6.6875	0.225	6.475	7.1875	9.55	0.3	10.0625	6.85	7.7625	3.1375	590	7.6499999999999995	-1.5125	615.125	156.75
L373_2.5-3cm	L373	2.5	3	2.75	1979.16107001574	1983.14354941904	1975.14293259596	NA	NA	NA	NA	0.2	6.7	7.2	NA	NA	NA	NA	NA	2.3375	590.375	6.8625	-2.4	645	164.375
L373_3-3.5cm	L373	3	3.5	3.25	1971.09492072703	1975.14293259596	1967.02281797625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7874999999999999	684.875	6.7	-2.84	785.8	173
L373_3.5-4cm	L373	3.5	4	3.75	1962.93240791094	1967.02281797625	1958.82947409842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0375	672.125	NA	NA	NA	NA
L373_4-4.5cm	L373	4	4.5	4.25	1954.719800106	1958.82947409842	1950.60916950099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1875	550.375	NA	NA	NA	NA
L373_4.5-5cm	L373	4.5	5	4.75	1946.5033658507	1950.60916950099	1942.40817272247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.9666666666666666	654.3333333333334	NA	NA	NA	NA
L373_5-5.5cm	L373	5	5.5	5.25	1938.32937368359	1942.40817272247	1934.27275230138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.475	635.625	NA	NA	NA	NA
L373_5.5-6cm	L373	5.5	6	5.75	1930.24409214315	1934.27275230138	1926.24917677623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.375	623	NA	NA	NA	NA
L373_6-6.5cm	L373	6	6.5	6.25	1922.29378976792	1926.24917677623	1918.38371468554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3875	667.5	NA	NA	NA	NA
L373_6.5-7cm	L373	6.5	7	6.75	1914.52473509641	1918.38371468554	1910.72263456783	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5714285714285714	527.1428571428571	NA	NA	NA	NA
L373_7-7.5cm	L373	7	7.5	7.25	1906.98319666713	1910.72263456783	1903.31220496161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5875	573.75	NA	NA	NA	NA
L373_7.5-8cm	L373	7.5	8	7.75	1899.7154430186	1903.31220496161	1896.1986944054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.9	564	NA	NA	NA	NA
L373_8-8.5cm	L373	8	8.5	8.25	1892.76774268933	1896.1986944054	1889.044179906245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
L373_8.5-9cm	L373	8.5	9	8.75	1885.45204481708	1889.044179906245	1881.85990972792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
